 Iteration,         x1,         x2,    Fitness,         r1,         r2
         0, -2.8548388, -3.1872438, -76.764330,  -81.76433, -153.52866
         0, -2.7253622, -3.1509624, -76.667310,  -81.66731, -153.33462
         0, -3.1519413,  -3.084956, -76.570072, -81.570072, -153.14014
         0, -2.7270664, -3.1622855, -76.564734, -81.564734, -153.12946
         0, -3.0757298, -3.2256098, -75.796433, -80.796433, -151.59286
         0, -3.2291096, -3.1778836, -74.869173, -79.869173, -149.73834
         0, -2.9444860, -3.4525745, -72.083942, -77.083942, -144.16788
         0, -2.2897221, -3.1478281, -71.971074, -76.971074, -143.94214
         0,  -3.382431, -3.2412087, -71.500813, -76.500813, -143.00162
         0, -3.0915138, -3.4532697, -71.446030,  -76.44603, -142.89206
         0, -2.3258482, -2.5187889, -71.385751, -76.385751,  -142.7715
         0, -2.5635837, -2.2455729, -70.630128, -75.630128, -141.26025
         0, -3.1957562, -2.2133312, -70.265736, -75.265736, -140.53147
         0, -2.1168145, -2.8015273, -70.092366, -75.092366, -140.18473
         0, -2.9477254, -2.0830064, -69.637640,  -74.63764, -139.27528
         0, -2.9378581, -3.5439461, -69.610658, -74.610658, -139.22131
         0, -2.3297002, -2.3671518, -69.561431, -74.561431, -139.12286
         0, -3.5026104, -3.1965554, -69.179123, -74.179123, -138.35824
         0, -3.3057011, -2.1559508, -67.750997, -72.750997, -135.50199
         0, -2.6406047, -2.0165887, -67.379705, -72.379705, -134.75941
         0, -1.9452692, -2.7552837, -66.780959, -71.780959, -133.56191
         0, -3.5100151, -3.3676513, -66.280683, -71.280683, -132.56136
         0, -2.4591502, -2.0408611, -65.990568, -70.990568, -131.98113
         0, -3.0424733, -1.8798222, -65.542385, -70.542385, -131.08477
         0, -2.8370321, -1.8245099, -64.742783, -69.742783, -129.48556
         0, -2.1905335,  -3.477918, -64.657870,  -69.65787, -129.31574
         0,  -3.465565, -2.1640398, -64.532379, -69.532379, -129.06475
         0, -3.0371154, 2.62332149, -63.660143, -68.660143, -127.32028
         0, -1.7671561, -2.7529298, -63.318093, -68.318093, -126.63618
         0, -2.3048827, -1.9976566, -63.107462, -68.107462, -126.21492
         0, -2.7586388, 2.50190770, -63.051215, -68.051215, -126.10243
         0, -2.2994906,  -3.593192, -62.994204, -67.994204,  -125.9884
         0, 3.00816989, -2.7392012, -62.653893, -67.653893, -125.30778
         0, -2.9876354, 2.38213800, -62.381252, -67.381252,  -124.7625
         0, 3.08211389, -2.9213425, -62.331223, -67.331223, -124.66244
         0, 2.48952020, -3.1404186, -62.269175, -67.269175, -124.53835
         0, -2.6123387, -1.7613485, -62.249603, -67.249603,  -124.4992
         0, -2.9975161, -1.6997963, -62.198478, -67.198478, -124.39695
         0, 2.36799430, -3.0160546, -62.156627, -67.156627, -124.31325
         0, -1.6904803, -2.7928957, -61.966987, -66.966987, -123.93397
         0, -1.7796754,  -2.542243, -61.945846, -66.945846, -123.89169
         0, -2.6191508,  2.4330979, -61.652004, -66.652004,   -123.304
         0, -3.6922151, -2.4514798, -61.516439, -66.516439, -123.03287
         0,  2.2757455, -2.8062798, -61.339578, -66.339578, -122.67915
         0, -1.6443297, -2.9883889, -61.124149, -66.124149, -122.24829
         0, -3.0520249, 2.20409969, -60.319483, -65.319483, -120.63896
         0, -3.5671753, -2.0699675, -60.029790,  -65.02979, -120.05958
         0, -3.2475405, 2.34529479, -59.889254, -64.889254,  -119.7785
         0, -3.3261494, 2.46402539, -59.603792, -64.603792, -119.20758
         0, -2.6731594, -3.7888435, -59.595024, -64.595024, -119.19004
         0, -1.9894218, -2.0933892, -59.493375, -64.493375, -118.98675
         0, -2.6809584, 2.16206539, -59.437798, -64.437798, -118.87559
         0,  2.2104881, -2.6083645, -59.431267, -64.431267, -118.86253
